trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
12905801,14:45:00,14:45:00,55,1,,0,0,
12905801,14:56:25,14:56:25,10542,10,,0,0,2.4674
12905801,14:58:03,14:58:03,69,11,,0,0,2.8195
12905801,14:58:51,14:58:51,70,12,,0,0,2.9916
12905801,15:00:31,15:00:31,72,13,,0,0,3.3497
12905801,15:06:28,15:06:28,73,14,,0,0,4.6264
12905801,15:07:40,15:07:40,75,15,,0,0,4.8874
12905801,15:09:01,15:09:01,11881,16,,0,0,5.1794
12905801,15:10:10,15:10:10,12603,17,,0,0,5.4291
12905801,15:11:04,15:11:04,30,18,,0,0,5.6229
12905801,15:12:00,15:12:00,31,19,,0,0,5.7926
12905801,14:46:26,14:46:26,56,2,,0,0,0.3092
12905801,15:17:00,15:17:00,9069,20,,1,0,6.7659
12905801,14:47:34,14:47:34,12619,3,,0,0,0.5532
12905801,14:48:19,14:48:19,58,4,,0,0,0.7143
12905801,14:49:40,14:49:40,60,5,,0,0,1.0071
12905801,14:50:30,14:50:30,61,6,,0,0,1.1881
12905801,14:51:50,14:51:50,63,7,,0,0,1.4773
12905801,14:52:41,14:52:41,64,8,,0,0,1.6603
12905801,14:54:51,14:54:51,12040,9,,0,0,2.1283
12905802,14:23:00,14:23:00,646,1,,0,0,
12905802,14:35:45,14:35:45,1277,10,,0,0,3.4113
12905802,14:37:14,14:37:14,1279,11,,0,0,3.8103
12905802,14:39:19,14:39:19,56,12,,0,0,4.3659
12905802,14:40:14,14:40:14,12619,13,,0,0,4.61
12905802,14:40:50,14:40:50,58,14,,0,0,4.771
12905802,14:41:55,14:41:55,60,15,,0,0,5.0638
12905802,14:42:35,14:42:35,61,16,,0,0,5.2448
12905802,14:43:40,14:43:40,63,17,,0,0,5.534
12905802,14:44:21,14:44:21,64,18,,0,0,5.7171
12905802,14:46:06,14:46:06,12040,19,,0,0,6.1851
12905802,14:24:14,14:24:14,378,2,,0,0,0.33
12905802,14:47:22,14:47:22,10542,20,,0,0,6.5242
12905802,14:48:41,14:48:41,69,21,,0,0,6.8763
12905802,14:49:19,14:49:19,70,22,,0,0,7.0484
12905802,14:50:39,14:50:39,72,23,,0,0,7.4065
12905802,14:55:26,14:55:26,73,24,,0,0,8.6831
12905802,14:56:24,14:56:24,75,25,,0,0,8.9441
12905802,14:57:29,14:57:29,11881,26,,0,0,9.2361
12905802,14:58:25,14:58:25,12603,27,,0,0,9.4858
12905802,14:59:08,14:59:08,30,28,,0,0,9.6796
12905802,15:00:00,15:00:00,31,29,,0,0,9.8494
12905802,14:25:09,14:25:09,379,3,,0,0,0.578
12905802,15:05:00,15:05:00,9069,30,,1,0,10.8227
12905802,14:26:29,14:26:29,12663,4,,0,0,0.9331
12905802,14:28:41,14:28:41,1269,5,,0,0,1.5221
12905802,14:30:12,14:30:12,1271,6,,0,0,1.9271
12905802,14:31:49,14:31:49,1273,7,,0,0,2.3591
12905802,14:33:35,14:33:35,1275,8,,0,0,2.8334
12905802,14:35:22,14:35:22,1276,9,,0,0,3.3083
12905803,13:10:00,13:10:00,646,1,,0,0,
12905803,13:22:24,13:22:24,1277,10,,0,0,3.4113
12905803,13:23:51,13:23:51,1279,11,,0,0,3.8103
12905803,13:25:52,13:25:52,56,12,,0,0,4.3659
12905803,13:26:45,13:26:45,12619,13,,0,0,4.61
12905803,13:27:20,13:27:20,58,14,,0,0,4.771
12905803,13:28:24,13:28:24,60,15,,0,0,5.0638
12905803,13:29:03,13:29:03,61,16,,0,0,5.2448
12905803,13:30:06,13:30:06,63,17,,0,0,5.534
12905803,13:30:46,13:30:46,64,18,,0,0,5.7171
12905803,13:32:28,13:32:28,12040,19,,0,0,6.1851
12905803,13:11:12,13:11:12,378,2,,0,0,0.33
12905803,13:33:42,13:33:42,10542,20,,0,0,6.5242
12905803,13:34:59,13:34:59,69,21,,0,0,6.8763
12905803,13:35:36,13:35:36,70,22,,0,0,7.0484
12905803,13:36:54,13:36:54,72,23,,0,0,7.4065
12905803,13:41:33,13:41:33,73,24,,0,0,8.6831
12905803,13:42:30,13:42:30,75,25,,0,0,8.9441
12905803,13:43:34,13:43:34,11881,26,,0,0,9.2361
12905803,13:44:28,13:44:28,12603,27,,0,0,9.4858
12905803,13:45:10,13:45:10,30,28,,0,0,9.6796
12905803,13:46:00,13:46:00,31,29,,0,0,9.8494
12905803,13:12:06,13:12:06,379,3,,0,0,0.578
12905803,13:51:00,13:51:00,9069,30,,1,0,10.8227
12905803,13:13:23,13:13:23,12663,4,,0,0,0.9331
12905803,13:15:32,13:15:32,1269,5,,0,0,1.5221
12905803,13:17:00,13:17:00,1271,6,,0,0,1.9271
12905803,13:18:34,13:18:34,1273,7,,0,0,2.3591
12905803,13:20:18,13:20:18,1275,8,,0,0,2.8334
12905803,13:22:02,13:22:02,1276,9,,0,0,3.3083
12905804,15:08:00,15:08:00,55,1,,0,0,
12905804,15:19:25,15:19:25,10542,10,,0,0,2.4674
12905804,15:21:03,15:21:03,69,11,,0,0,2.8195
12905804,15:21:51,15:21:51,70,12,,0,0,2.9916
12905804,15:23:31,15:23:31,72,13,,0,0,3.3497
12905804,15:29:28,15:29:28,73,14,,0,0,4.6264
12905804,15:30:40,15:30:40,75,15,,0,0,4.8874
